FountainID,Location,Maintainer,x_coord,y_coord
1,Charleson Park Pumping Station,Engineering,490839.5399,5457071.971
2,Granville Island Pumping Station,Engineering,490093.5348,5457431.7784
3,Granville St Pumping Station,Engineering,490428.7545,5457850.132
4,Kitsilano Pumping Station,Engineering,488886.6054,5457895.2437
5,Thornton Park Pumping Station,Engineering,492806.8466,5457813.412
6,1650 W 7th,Engineering,489663.1517,5456961.5398
7,4th & Arbutus,Engineering,488890.8,5457285.3039
8,7th & Yukon,Engineering,491781.177,5456883.5835
9,Alexandria,Parks,489644.7602,5459210.0065
10,Almond,Parks,486557.0105,5456484.7709
11,Andy Livingstone,Parks,492276.1507,5458456.054
12,Andy Livingstone,Parks,492466.5084,5458360.183
13,Arbutus Greenway,Parks,488699.3869,5456607.5776
14,Art Phillips Park,Parks,491204.9613,5459247.8663
15,Broadway & Ontario,Engineering,492358.6423,5456684.3228
16,Broadway & Stephens,Engineering,487875.6,5456843.5838
17,Burrard & Davie,Engineering,490600.5949,5458507.1941
18,Burrard Civic Centre,Parks,489833.3676,5458048.8067
19,Cardero & Burnaby,Engineering,489850.9088,5459094.6577
20,Charleson,Parks,490840.7949,5457257.724
21,China Creek North,Parks,493951.6174,5456848.7631
22,China Creek South,Parks,494247.6298,5456545.1726
23,Coal Harbour,Parks,490882.364,5459687.7401
24,Coal Harbour,Parks,492400.7431,5459718.6378
25,Comox & Cardero,Engineering,490072.321,5459340.8887
26,Comox & Chilco,Engineering,489627.3001,5459779.2436
27,Comox & Denman,Engineering,489841.9229,5459568.9104
28,Connaught,Parks,488254.6052,5456568.4432
29,Connaught,Parks,488407.2193,5456690.563
30,Coopers',Parks,491776.1499,5457900.6582
31,Coopers',Parks,491660.1763,5457788.4837
32,David Lam,Parks,490854.6317,5457660.1391
33,David Lam,Parks,491031.6103,5457744.5598
34,Denman & Nelson,Engineering,489925.0179,5459617.576
35,Devonian Harbour,Parks,490111.4222,5460257.6027
36,Emery Barnes Dog Park,Parks,490995.5665,5458255.671
37,Emery Barnes Park,Parks,490960.1337,5458205.1352
38,English Bay,Parks,489631.9883,5459417.3647
39,English Bay,Parks,489598.0986,5459262.6785
40,English Bay,Parks,489961.3557,5458469.2424
41,George Wainborn,Parks,490558.3782,5457679.5387
42,Gilford & Comox,Engineering,489726.0299,5459679.3331
43,Gilford & Nelson,Engineering,489803.3601,5459759.4136
44,Granville & Robson,Engineering,491277.0576,5458761.156
45,Granville Loop Park,Parks,489978.1735,5457160.8975
46,Guelph Park,Parks,493046.4559,5456832.9348
47,Harbour Green,Parks,491036.4067,5459838.3459
48,Harbour Green,Parks,491042.8262,5459761.7385
49,Harbour Green,Parks,491150.7861,5459701.7536
50,Haro & Bute mini-park,Parks,490688.055,5459167.6739
51,Hastings & Gore,Engineering,492928.4281,5458741.4414
52,Hinge Park,Parks,491983.0868,5457593.7549
53,Jervis and Burnaby,Parks,490105.1132,5458812.6114
54,Jonathan Rogers,Parks,492177.8271,5456827.8757
55,Kisilano,Parks,488810.7143,5457970.1935
56,Kitsilano,Parks,488922.9668,5458121.8258
57,Kitsilano,Parks,488962.7562,5458231.3603
58,Main & 11th,Engineering,492667.0077,5456482.062
59,Major Mathews,Parks,492214.1611,5456540.037
60,McBride,Parks,486895.3622,5457255.8144
61,McLean Park,Parks,493494.5843,5458457.946
62,Morton,Parks,489654.4611,5459418.4341
63,Mount Pleasant,Parks,492254.3872,5456016.334
64,Nelson,Parks,490546.8117,5458906.4407
65,Nelson & Broughton,Engineering,490303.3198,5459226.1736
66,Nicola & Beach,Engineering,489781.1164,5458857.4501
67,Oppenheimer,Parks,493159.4814,5458909.5729
68,Pioneer Square,Parks,492399.4356,5458772.9304
69,Portside,Parks,492595.0886,5459105.1534
70,Robson,Parks,493312.0883,5456118.0018
71,Robson & Burrard,Engineering,491106.1603,5458930.8533
72,Robson & Chilco,Engineering,489946.132,5460088.0506
73,SE False Creek,Parks,492499.8288,5458045.9466
74,Seaforth,Parks,489364.3345,5457591.4474
75,Stanley,Parks,489633.5808,5462264.9062
76,Stanley Park - Lumbermen's Arch,Parks,490498.7601,5461147.9575
77,Stanley Park - Tennis Courts,Parks,489379.5102,5459948.9117
78,Stanley Park- A  Frame Washrooms,Parks,490566.8161,5460603.6565
79,Stanley Park- Aquarium,Parks,490479.8393,5460801.1356
80,Stanley Park- Aviary,Parks,490004.8958,5461492.9095
81,Stanley Park- Bridle Path,Parks,489376.9704,5461380.6152
82,Stanley Park- Brockton Oval,Parks,490249.2211,5460716.0492
83,Stanley Park- Brockton Point Lighthouse,Parks,489623.8019,5461551.5365
84,Stanley Park- Ceperley Washrooms,Parks,489195.3425,5460105.3663
85,Stanley Park- Cerperley Seawall,Parks,489118.6006,5460126.5291
86,Stanley Park- Cricket Pavillion,Parks,488700.3387,5461634.6249
87,Stanley Park- Lawn Bowling,Parks,489311.0959,5459953.8247
88,Stanley Park- Pavillion,Parks,489624.0035,5462196.8872
89,Stanley Park- Pavillion Playground,Parks,490219.7522,5460988.5382
90,Stanley Park- Prospect Point,Parks,489369.673,5461854.5203
91,Stanley Park- Prospect Point Washrooms,Parks,489652.2545,5462223.2261
92,Stanley Park- Putting Green,Parks,489348.5635,5460039.1315
93,Stanley Park- Rose Garden Playground,Parks,491226.4082,5460701.395
94,Stanley Park- Second Beach,Parks,489065.6744,5460642.0357
95,Stanley Park- Second Beach,Parks,489077.3374,5460254.8915
96,Stanley Park- Second Beach Pool,Parks,489016.8868,5460313.288
97,Stanley Park- Shuffleboard,Parks,489750.7914,5462211.2126
98,Stanley Park- Third Beach,Parks,488634.8249,5461168.84
99,Stanley Park- Third Beach Seawall,Parks,488638.6076,5461169.9995
100,Stanley Park- Totem Poles,Parks,491183.8066,5460748.4886
101,Stanley Park- Upper Rose Garden,Parks,490825.7948,5460779.5357
102,Stanley Park-Pitch and Putt Course,Parks,489376.0782,5460204.7568
103,Stanley Park-Prospect Point,Parks,489218.2594,5462001.1173
104,Strathcona,Parks,493782.526,5458127.5247
105,Strathcona,Parks,493694.3074,5458011.3406
106,Sunset Beach,Parks,489967.539,5458469.7536
107,Sutcliffe,Parks,490249.5621,5457382.0286
108,Teaswamp,Parks,492826.1052,5456070.1436
109,Trillium,Parks,493226.3941,5458026.7161
110,Union & Hawks,Engineering,493643.7427,5458316.6069
111,Victory Square,Parks,491995.0181,5458793.7486
112,Northeast corner of Dunsmuir and Beatty,Engineering,491977.5963,5458567.2299
113,Southeast corner of Ontario and 1st,Engineering,492400.4276,5457490.7409
