Local Area,311 Contact Centre,Business Planning & Services,CSG - Inspections,CSG - Licenses & Inspections,CSG - Licenses,City Administration,DBL - Administration,DBL - Inspections,DBL - Licensing & Animal Services,ENG - Office of the Deputy City Engineer,ENG - Solid Waste,ENG - Streets,ENG - Transportation,ENG - Water & Sewer,Interdepartmental Initiatives,Public Safety - Fire,ZZ OLD - PRB - Planning and Operations
Arbutus-Ridge,14,128,41,4,55,,,21,38,112,610,830,97,275,1,10,
Downtown,88,667,324,5,252,1,2,267,119,20,751,2541,1496,348,,143,4
Dunbar-Southlands,24,268,64,6,81,2,3,34,39,151,1299,1431,121,530,1,8,
Fairview,48,377,146,5,234,6,4,67,136,192,462,1755,678,303,1,93,
Grandview-Woodland,36,347,97,5,139,1,,89,82,176,1417,1675,561,369,2,54,
Hastings-Sunrise,43,364,84,6,120,2,1,43,73,210,1655,1873,547,531,1,26,
Kensington-Cedar Cottage,52,485,126,10,177,1,,83,122,366,2571,2760,754,748,2,35,
Kerrisdale,16,266,39,3,54,,1,17,26,95,793,1072,84,379,2,15,
Killarney,10,174,31,2,77,,2,40,40,95,793,1104,191,268,3,16,
Kitsilano,66,528,143,8,197,6,1,116,130,327,1600,2324,444,552,,53,
Marpole,28,190,39,3,59,3,1,37,41,131,809,1215,215,386,3,34,
Mount Pleasant,44,433,157,5,195,24,3,167,106,230,998,1701,544,379,5,89,
Oakridge,9,70,28,,44,,,15,25,104,496,667,67,238,3,6,
Renfrew-Collingwood,35,339,80,8,147,,,76,96,403,2077,2566,572,595,1,27,
Riley Park,39,378,76,7,99,,3,37,78,245,1402,1606,270,467,3,17,
Shaughnessy,13,122,48,2,43,,1,12,28,99,769,1004,79,301,,4,
South Cambie,9,108,34,5,27,1,,15,22,90,396,652,85,179,4,6,
Strathcona,37,247,68,,244,,1,38,123,47,588,1187,279,220,,62,
Sunset,30,220,70,8,102,1,1,63,75,149,1630,1667,314,496,1,31,
Victoria-Fraserview,22,176,66,2,81,1,1,29,59,119,1325,1511,251,329,,17,
West End,70,351,220,6,121,,2,214,59,82,551,960,595,204,,65,
West Point Grey,26,188,58,1,81,,3,26,46,151,766,1010,122,331,7,9,
