MarketType,MarketName,MergedAddress,Day,Open,Close,Months,NumberOfVendors,Offerings
,Hastings Park,Renfrew St,Sunday,10am,2pm,Nov - Apr,33,"produce,meat,seafood,cheese,organics,prepared foods"
,Mount Pleasant Market,2300 Guelph St,Sunday,10am,2pm,Jun - Oct,25,"produce,meat,seafood,cheese,organics,prepared foods"
,Kitsilano Farmers Market,2690 Larch St,Sunday,10am,2pm,May - Oct,51,"produce,meat,seafood,cheese,organics,prepared foods"
,Main St Station Farmers Market,1100 Station St,Thursday,2pm,6pm,Jun - Oct,28,"produce,meat,seafood,cheese,organics,prepared foods"
,Winter Farmers Market,4601 Ontario St,Saturday,10am,2pm,Nov - Apr,77,"produce,meat,seafood,cheese,organics,prepared foods"
,West End Farmers Market,"1164  Comox St, Vancouver BC",Saturday,9am,2pm,June-October,35,"produce,meat,seafood,cheese,organics,prepared foods"
,Yaletown Farmers Market,"1100  Mainland St, Vancouver BC",Wednesday,2pm,6pm,Mid-August to September,42,
,Kerrisdale Village Farmers Market,"5300  East Boulevard, Vancouver BC",Saturday,10am,2pm,June-October,30,"produce,meat,seafood,cheese,organics,prepared foods"
,Holiday Market,3250 Commercial Dr,Saturday,10am,4pm,20151212,70,"produce,meat,seafood,cheese,organics,prepared foods"
,Trout Lake Farmers Market,,Saturday,9am,2pm,May - Oct,61,"produce,meat,seafood,cheese,organics,prepared foods"
,QE Theatre Farmers Market,,Thursday,2pm,6pm,May - Oct,33,"produce,meat,seafood,cheese,organics,prepared foods"
,Mount Pleasant,"2300 Guelph St, Vancouver BC",Sunday,10am,12pm,June-October,29,"produce,meat,seafood,cheese,organics,prepared foods"
