comments,death_comments,earliest_date_born,exact_date_of_birth,id,latest_date_born,local_identifier,nick_name,ring_id,sex,taxon_canonical_name,timestamp_start,timestamp_end,number_of_events,number_of_deployments,sensor_type_ids,taxon_detail
,,,,430731866,,"BACA01",,"629-28664 / BLUE/SILVER M2",,"Haliaeetus leucocephalus",2018-02-09 22:00:00.000,2019-03-29 00:00:00.000,1268,1,"gps","Bald Eagle"
,,,,430731867,,"BACA02",,"629-28666  /  BLUE/SILVER N2",,"Haliaeetus leucocephalus",2018-02-11 23:46:00.000,2021-01-05 18:01:00.000,2496,1,"gps","Bald Eagle"
,,,,430731868,,"BACA03",,"",,"Haliaeetus leucocephalus",2018-12-05 02:52:00.000,2022-08-07 13:00:52.000,11128,1,"gps","Bald Eagle"
,,,,768159829,,"BETA02",,,"f","Haliaeetus leucocephalus",2019-03-20 18:02:00.000,2020-01-15 18:00:00.000,1309,1,"gps",
,,,,768161195,,"BETA03",,,,"Haliaeetus leucocephalus",2020-11-26 16:14:00.000,2022-08-01 18:00:19.000,1906,1,"gps",
,,,,768162242,,"BETA04","Loki","Left D3 Silver on Blue Band",,"Haliaeetus leucocephalus",2020-07-17 18:04:00.000,2022-06-30 00:01:21.000,771,1,"gps",
,,,,430731869,,"TERF01",,"",,"Haliaeetus leucocephalus",2018-02-22 19:47:00.000,2018-09-19 21:00:00.000,1871,1,"gps","Bald Eagle"
,,,,430731870,,"TERF02",,"",,"Haliaeetus leucocephalus",2018-12-12 22:58:00.000,2022-03-26 16:00:07.000,3337,1,"gps","Bald Eagle"
,,,,430731871,,"TERF03",,"",,"Haliaeetus leucocephalus",2018-01-19 18:00:00.000,2020-07-05 18:00:00.000,1786,1,"gps","Bald Eagle"
,,,,430270991,,"TERF04",,"0709-0197 / BLACK/YELLOW A1",,"Haliaeetus leucocephalus",2018-02-18 21:35:00.000,2019-06-26 21:00:00.000,7043,1,"gps","Bald Eagle"
,,,,430731873,,"TERF05",,"629-28667  /  BLUE/SILVER G3",,"Haliaeetus leucocephalus",2018-02-14 19:57:00.000,2019-07-18 00:00:00.000,1942,1,"gps","Bald Eagle"
,,,,1405139213,,"TERF06",,,,"Haliaeetus leucocephalus",2020-12-01 16:10:06.000,2022-06-27 00:00:39.000,1710,1,"gps",
,,,,1405143176,,"TERF07",,,,"Haliaeetus leucocephalus",2021-01-20 18:00:00.000,2022-08-07 00:00:40.000,2376,1,"gps",
,,,,1405143248,,"TERF08",,,,"Haliaeetus leucocephalus",2020-12-08 16:10:00.000,2022-08-05 12:04:20.000,1988,1,"gps",
"rehab bird from OWl",,,,1405143305,,"TERF09",,,,"Haliaeetus leucocephalus",2021-01-18 18:00:00.000,2021-02-25 18:00:05.000,112,1,"gps",
"Parksville Nest",,,,1654904330,,"TERF10","Parksville Chick","48530785412",,"Haliaeetus leucocephalus",2021-06-07 18:20:05.000,2022-07-28 21:00:07.000,1537,1,"gps",
,,,,1631622024,,"TERF11","Vanier Park nest",,,"Haliaeetus leucocephalus",2021-07-16 00:00:35.000,2022-07-21 21:00:07.000,1278,1,"gps",
"Hastings Pair. Fell from nest, taken to OWL, deployed telemetry on 28-Jul-2021, released a few days later.",,,,1669484215,,"TERF12",,,,"Haliaeetus leucocephalus",2021-08-11 21:00:58.000,2022-08-07 03:00:21.000,1341,1,"gps",
"Boundary Bay Airport Sibling Pair",,,,1669464764,,"TERF13","Pixel",,,"Haliaeetus leucocephalus",2021-08-04 00:00:36.000,2022-07-20 21:00:15.000,1236,1,"gps",
"Boundary Bay Airport Sibling Pair. Sibling to TERF13, nest fell down around Boundary Bay near airport, taken to OWL on June 01. ",,,,1669465838,,"TERF14","Jpeg",,,"Haliaeetus leucocephalus",2021-08-11 18:00:08.000,2022-01-03 00:01:10.000,381,1,"gps",
,,,,1697514170,,"TERF15",,,,"Haliaeetus leucocephalus",2021-08-18 15:44:36.000,2022-08-02 21:00:33.000,1301,1,"gps",
"Formerly known as TEUS03. Bird recaptured, failed unit removed and replaced with new one.",,,,1833092912,,"TERF16","TERF16/TEUS03",,"f","Haliaeetus leucocephalus",2021-11-06 18:00:10.000,2022-07-29 21:00:19.000,983,1,"gps",
,,,,1833103711,,"TERF17","TERF17",,"f","Haliaeetus leucocephalus",2021-11-06 00:00:59.000,2022-07-19 00:00:50.000,645,1,"gps",
"Caught at Vancouver Landfill on 10 March 2022",,,,2010534980,,"TERF19",,,,"Haliaeetus leucocephalus",2022-03-10 22:54:06.000,2022-06-27 00:00:37.000,572,1,"gps",
,,,,1977494677,,"TERF20","TERF20",,,"Haliaeetus leucocephalus",2022-03-03 16:01:19.000,2022-07-03 21:14:47.000,577,1,"gps",
"caught at Vancouver landfill",,,,2061925947,,"TERF21",,,,"Haliaeetus leucocephalus",2022-03-24 00:00:55.000,2022-05-27 18:00:07.000,372,1,"gps",
,,,,2108463862,,"TERF22",,,"f","Haliaeetus leucocephalus",2022-05-18 06:01:27.000,2022-07-29 15:00:20.000,392,1,"gps",
,,,,653162237,,"TEUS03",,,"f","Haliaeetus leucocephalus",2019-01-09 22:00:00.000,2019-07-24 18:00:00.000,1120,1,"gps","BALD EAGLE"
