WashroomID,Location,OpeningTime,ClosingTime,Category
PW001,Central Park,06:00 AM,10:00 PM,Transport Hub
PW002,Downtown Square,07:00 AM,11:00 PM,Suburban
PW003,Beachfront Walkway,08:00 AM,08:00 PM,Urban
PW004,City Library,09:00 AM,07:00 PM,Tourist
PW005,Metro Transit Hub,05:00 AM,12:00 AM,Urban
PW006,Community Market,06:30 AM,09:30 PM,Suburban
PW007,Sports Complex,07:00 AM,11:00 PM,Urban
PW008,Riverside Park,06:00 AM,09:00 PM,Suburban
PW009,Shopping Mall,09:30 AM,10:00 PM,Suburban
PW010,University Campus,07:30 AM,08:00 PM,Tourist
PW011,Train Station,05:30 AM,11:30 PM,Tourist
PW012,Bus Terminal,06:15 AM,10:15 PM,Urban
PW013,Museum,09:00 AM,06:00 PM,Tourist
PW014,Convention Center,08:30 AM,09:45 PM,Suburban
PW015,Stadium,04:45 AM,01:00 AM,Tourist
