FacilityID,FacilityName,OpeningTime,ClosingTime,Category
SF001,Swimming Pool,06:00 AM,10:00 PM,Tourist
SF002,Tennis Court,07:00 AM,11:00 PM,Suburban
SF003,Skate Park,08:00 AM,08:00 PM,Urban
SF004,Public Gym,09:00 AM,07:00 PM,Urban
SF005,Climbing Center,05:30 AM,12:00 AM,Urban
SF006,Athletic Track,06:30 AM,09:30 PM,Transport Hub
SF007,Basketball Court,07:00 AM,11:00 PM,Transport Hub
SF008,Ice Rink,06:00 AM,09:00 PM,Transport Hub
SF009,Rowing Club,09:00 AM,10:00 PM,Transport Hub
SF010,Golf Course,07:30 AM,08:30 PM,Urban
SF011,Archery Range,05:45 AM,11:45 PM,Transport Hub
SF012,BMX Track,06:15 AM,10:15 PM,Suburban
SF013,Yoga Studio,09:30 AM,06:30 PM,Urban
SF014,Football Field,08:00 AM,09:45 PM,Suburban
SF015,Martial Arts Dojo,04:30 AM,01:30 AM,Suburban
