layer_name,name,fme_data_type
public_trees,localarea,fme_varchar(24)
public_trees,tree_id,fme_uint32
public_trees,civic_number,fme_uint16
public_trees,std_street,fme_varchar(20)
public_trees,genus_name,fme_varchar(14)
public_trees,species_name,fme_varchar(16)
public_trees,cultivar_name,fme_varchar(20)
public_trees,common_name,fme_varchar(30)
public_trees,on_street_block,fme_uint16
public_trees,on_street,fme_varchar(20)
public_trees,street_side_name,fme_varchar(8)
public_trees,height_range_id,fme_uint8
public_trees,height_range,fme_varchar(5)
public_trees,diameter,fme_real32
public_trees,date_planted,fme_varchar(10)
public_trees,json_type,fme_varchar(10)
public_art,status,fme_varchar(18)
public_art,localarea,fme_varchar(24)
public_art,registryid,fme_uint16
public_art,title_of_work,fme_varchar(116)
public_art,artistprojectstatement,fme_varchar(3766)
public_art,type,fme_varchar(25)
public_art,sitename,fme_varchar(84)
public_art,siteaddress,fme_varchar(95)
public_art,primarymaterial,fme_varchar(100)
public_art,ownership,fme_varchar(44)
public_art,locationonsite,fme_varchar(321)
public_art,descriptionofwork,fme_varchar(2629)
public_art,json_type,fme_varchar(12)
heritage_sites,id,fme_uint16
heritage_sites,streetnumber,fme_varchar(11)
heritage_sites,streetname,fme_varchar(17)
heritage_sites,additionallocationinformation,fme_varchar(42)
heritage_sites,category,fme_varchar(38)
heritage_sites,buildingnamespecifics,fme_varchar(55)
heritage_sites,status,fme_varchar(6)
heritage_sites,localarea,fme_varchar(24)
